source,url

IDR,https://raw.githubusercontent.com/ome/ome2024-ngff-challenge/main/samples/idr_samples.csv

BioImage Archive,https://raw.githubusercontent.com/ome/ome2024-ngff-challenge/main/samples/ebi-ngff-challenge-samples.csv
